Word Length,Recursive Time (ns),Iterative Time (ns)
1,691,210
2,1695,237
3,1716,321
4,3014,315
5,3768,317
6,3360,407
7,3111,411
8,3308,516
9,3309,604
10,2865,601
11,2569,585
12,2847,686
13,2857,401
14,3625,240
15,3597,239
16,3850,342
17,3188,296
18,2058,283
19,2177,294
20,1924,323
21,1657,317
22,1770,344
23,2453,338
24,998,365
25,914,402
26,1155,396
27,1393,399
28,1453,523
29,1511,423
30,1431,464
31,1220,455
32,1254,496
33,1526,491
34,1282,517
35,1362,519
36,1459,541
37,1376,547
38,2003,561
39,1502,571
40,1653,616
41,1661,672
42,2052,618
43,2259,618
44,2605,643
45,2323,644
46,2886,673
47,4392,676
48,2504,700
49,2025,718
50,2347,747
51,2828,785
52,2729,757
53,2121,752
54,2291,764
55,2903,789
56,2509,807
57,2543,801
58,2490,839
59,3489,831
60,3832,845
61,5061,842
62,4584,882
63,3863,883
64,2948,909
65,3255,907
66,3204,1049
67,3600,1120
68,3566,1008
69,3312,960
70,3363,989
71,4621,990
72,3750,1074
73,3424,1032
74,3742,1050
75,3427,1083
76,3501,1096
77,3450,1072
78,3656,1134
79,3659,1146
80,3845,1122
81,3900,1129
82,3860,1149
83,4156,1147
84,4508,1176
85,3897,1174
86,5530,1251
87,4599,1208
88,4306,1234
89,4394,1232
90,4671,1247
91,33208,1329
92,6139,844
93,5635,837
94,4217,852
95,3597,855
96,2712,950
97,2472,873
98,2999,907
99,2335,880
100,2564,908
101,4418,907
102,3276,913
103,2654,921
104,2895,937
105,2651,931
106,2967,953
107,3198,961
108,3502,969
109,3314,970
110,3651,1031
111,3687,987
112,3946,1010
113,3169,1004
114,4418,1030
115,3739,1023
116,3688,1042
117,3853,1039
118,3887,1063
119,3400,1190
120,3205,1154
121,3134,1087
122,3648,1093
123,4712,1085
124,3478,1203
125,3438,1113
126,5128,1120
127,4843,1123
128,3230,1123
129,6013,1261
130,7051,1184
131,5622,1254
132,6358,1315
133,6789,1403
134,6793,1189
135,7347,1181
136,6528,1190
137,6656,1197
138,6442,1209
139,7470,1213
140,6814,1321
141,6454,1278
142,8221,1271
143,12703,1240
144,9801,1300
145,12728,1407
146,9580,1388
147,8235,1361
148,9199,1306
149,8943,1876
150,31742,1305
151,4975,1441
152,5766,1318
153,6293,1325
154,5247,1340
155,5705,1339
156,4712,1379
157,4400,317
158,4626,325
159,4941,316
160,5296,321
161,6037,324
162,5369,328
163,4930,328
164,5505,327
165,6043,324
166,6311,326
167,7208,333
168,5613,335
169,6047,323
170,5168,342
171,5269,346
172,6489,348
173,4987,342
174,5791,349
175,6778,351
176,7248,354
177,7020,342
178,5808,349
179,6167,349
180,5464,366
181,5309,349
